Position,"Track Name",Artist,URL
1,"Here's Your Perfect","Jamie Miller",https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
2,Beggin',Måneskin,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,หากจะเพียงขอ(Sincare),PURPEECH,https://open.spotify.com/track/3v5g7khNHS9726iyuI1iUs
4,"double take",dhruv,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
5,"everything sucks",vaultboy,https://open.spotify.com/track/3z06k8YF9CqX0CGFrlekOK
6,seaside_demo,SEB,https://open.spotify.com/track/73M0rMVx5CWE8M4uATSsto
7,ขอลา,Pearpilincys,https://open.spotify.com/track/0hDRd22AEP5tx9hramOcRB
8,"จีบอยู่เผื่อไม่รู้ - How Cute!",WWJ,https://open.spotify.com/track/0QEQhT1kUxAmoCtug66anM
9,คะขาเป็นคนเจ้าชู้,GUZT,https://open.spotify.com/track/3B5r5eBRvBhcuVQayIkiEp
10,happier,"Olivia Rodrigo",https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
11,"I WANNA BE YOUR SLAVE",Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
12,"good 4 u","Olivia Rodrigo",https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
13,"Next Level",aespa,https://open.spotify.com/track/2zrhoHlFKxFTRF5aMyxMoQ
14,"Build a Bitch","Bella Poarch",https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
15,Sunkissed,Urworld,https://open.spotify.com/track/52h8p62Jx8KzQynM6heq7n
16,"Bundles (feat. Taylor Girlz)","Kayla Nicole",https://open.spotify.com/track/3QqYZWQLn0evKMIRlGJeeR
17,"输入法打可爱按第五 - 纯享版",米卡,https://open.spotify.com/track/2EkWWvPdoJTyumBU0cD9xC
18,Butter,BTS,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
19,"Have You Ever",mindfreakkk,https://open.spotify.com/track/6lMcbUMHMDkGCiuj8Dm5BL
20,อยากให้เธออยู่ตรงนี้,"The BESTS",https://open.spotify.com/track/25a2Lu7yr7UiZjGhCsZBE0
21,"เพื่อนเล่น ไม่เล่นเพื่อน (Just Being Friendly)","Tilly Birds",https://open.spotify.com/track/19KNYtZF0xP7VCIItvGSJZ
22,"Just The Two of Us",Kauai45,https://open.spotify.com/track/5cwCW4r6ybpSiHWMpMKHoJ
23,"Dick (feat. Doja Cat)",StarBoi3,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
24,Chocolate,"PLASUI PLASUI",https://open.spotify.com/track/6txkh4tD3gdvQCkbfQSKcz
25,"WE GO",fromis_9,https://open.spotify.com/track/08T4C8obLBuhwzJiYWBVRT
26,FEVER,ENHYPEN,https://open.spotify.com/track/0UzymivvUH5s8z4PeWZJaK
27,"Lay It Down",Lloyd,https://open.spotify.com/track/0npGoOENjn7vVvIMmvWekQ
28,Chocolate,"PLASUI PLASUI",https://open.spotify.com/track/4kLD5mY6hir91J5korUFMu
29,"deja vu","Olivia Rodrigo",https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
30,"Watermelon Sugar X Seaside",Vazer,https://open.spotify.com/track/6iN5gZGa0XCyn6GaY7ucaP
31,"I Got Bitches",A2M,https://open.spotify.com/track/6gPqBegU4aDWoSYXeCyURA
32,"ZITTI E BUONI",Måneskin,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
33,ทน,SPRITE,https://open.spotify.com/track/4tM3ygBuSy0QzB0ihYZQcf
34,กักตัว,"Violette Wautier",https://open.spotify.com/track/2ozCc0MSm3ybXugQqfnKOn
35,"beside you",keshi,https://open.spotify.com/track/1Fhb9iJPufNMZSwupsXiRe
36,ฝันที่ไม่เป็นจริง,DRG,https://open.spotify.com/track/7z9aaWyPIR329saxYp7m2q
37,"Me and My Brother",5ive,https://open.spotify.com/track/0AZYhsESBrtRq88nxq6GMZ
38,Dinero,"Trinidad Cardona",https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
39,"Cry Baby","Official HIGE DANdism",https://open.spotify.com/track/7vBX6cVsCPFSx2C58hpZ4f
40,"รู้งี้เป็นแฟนกันตั้งนานแล้ว (Safe Zone) - From ""แปลรักฉันด้วยใจเธอ Part 2""",Billkin,https://open.spotify.com/track/24mB1soS8zLHLG1GK9Hvjd
41,ดีอะ,BNK48,https://open.spotify.com/track/51dQjsWks0m45F8ILYYVuY
42,"Rainy Days",Vintage,https://open.spotify.com/track/77kKcEI6SpSar0tedZeatq
43,"Lost In Paradise (""Jujutsu Kaisen"")","Studio Yuraki",https://open.spotify.com/track/6TRVBnie7dnh8QKAliLYRv
44,"ชอบคนตรงหน้า (The Front Person)",RedSpin,https://open.spotify.com/track/1fYmLt7UkEud6lIglfAuZ2
45,寄り酔い,和ぬか,https://open.spotify.com/track/154Jycdld9dX9rBLE6L3v4
46,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
47,มีปัญหาปรึกษาดาว,"SERIOUS BACON",https://open.spotify.com/track/4YxaxRxi8lFZdAWS9nCmAn
48,traitor,"Olivia Rodrigo",https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
49,"Kiss Me More (feat. SZA)","Doja Cat",https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
50,Honeypie,JAWNY,https://open.spotify.com/track/6FfLg6FFqhCsrFOaHIGkg0
